time, counter, id, level, hp, bar_type, damage, score, proximity, active, fps, type
11.57223,60,9289,1,1000,Linear HP Bar,0,0,7,2.45714285714286,17,3,Atomic
12.57529,59,9289,1,999,Linear HP Bar,1,3,4,3.4,17,60,Atomic
13.22464,60,9289,1,1000,Linear HP Bar,0,0,7,2.45714285714286,17,3,Atomic
14.36774,59,9289,1,1000,Linear HP Bar,0,0,7,2.85714285714286,18,69,Atomic
8.093855,60,6487,1,1000,Linear HP Bar,0,0,6,2.66666666666667,17,3,Atomic
1.352834,60,476,1,1000,Linear HP Bar,0,0,6,2.7,17,3,Atomic
2.352852,59,476,1,1000,Linear HP Bar,0,3,4,3.4,19,60,Atomic
3.727915,58,476,1,1000,Linear HP Bar,0,4,0,0,17,83,Atomic
1.005833,60,9531,1,1000,Linear HP Bar,0,0,6,2.93333333333333,19,22,Atomic
2.016398,59,9531,1,1000,Linear HP Bar,0,4,2,3,17,61,Atomic
3.374865,58,9531,1,1000,Linear HP Bar,0,1,1,2.4,17,82,Atomic
1.10691,60,1288,1,1000,Linear HP Bar,0,0,7,2.48571428571429,17,3,Atomic
2.118552,59,1288,1,1000,Linear HP Bar,0,3,4,3.5,19,61,Atomic
3.453835,60,1288,1,1000,Linear HP Bar,0,0,7,2.51428571428572,17,3,Atomic
7.881374,60,1288,2,1000,Linear HP Bar,0,0,4,2.8,5,3,Atomic
8.892804,59,1288,2,1000,Linear HP Bar,0,2,4,3,8,61,Atomic
9.902753,58,1288,2,1000,Linear HP Bar,0,3,1,2.2,8,61,Atomic
1.427652,60,7197,1,999,Linear HP Bar,1,0,4,2.5,5,3,Atomic
2.438377,59,7197,1,938,Linear HP Bar,61,0,4,2.9,5,61,Atomic
3.448789,58,7197,1,900,Linear HP Bar,38,0,1,2.8,5,61,Atomic
4.459476,57,7197,1,900,Linear HP Bar,0,0,3,2,9,61,Atomic
5.46953,56,7197,1,900,Linear HP Bar,0,0,0,0,12,59,Atomic
6.479958,55,7197,1,900,Linear HP Bar,0,0,0,0,12,61,Atomic
7.490525,54,7197,1,870,Linear HP Bar,30,0,2,3.8,12,61,Atomic
8.501096,53,7197,1,870,Linear HP Bar,0,0,0,0,14,61,Atomic
9.51203,52,7197,1,870,Linear HP Bar,0,0,1,1.4,21,61,Atomic
10.52321,51,7197,1,822,Linear HP Bar,48,3,5,2.75,23,61,Atomic
