time, id, level, hp, bar_type, damage, score, proximity, active
1.072851,0,level1,1000,Offset HP Bar,0,0,4, 5
2.074796,0,level1,1000,Offset HP Bar,0,0,6, 11
3.089381,0,level1,1000,Offset HP Bar,0,0,7, 12
4.104403,0,level1,949,Offset HP Bar,51,293,9, 15
5.113837,0,level1,899,Offset HP Bar,50,5485.5,6, 17
6.126715,0,level1,897,Offset HP Bar,2,6441.5,1, 16
7.134291,0,level1,897,Offset HP Bar,0,3248.5,0, 14
8.147721,0,level1,895,Offset HP Bar,2,1804,5, 15
9.148259,0,level1,895,Offset HP Bar,0,4934.5,0, 13
10.16013,0,level1,895,Offset HP Bar,0,564,5, 13
11.1609,0,level1,893,Offset HP Bar,2,5327,1, 14
12.17464,0,level1,893,Offset HP Bar,0,5634,4, 11
13.17602,0,level1,892,Offset HP Bar,1,4851,3, 12
14.19067,0,level1,892,Offset HP Bar,0,3292.5,4, 10
15.19151,0,level1,892,Offset HP Bar,0,3151,0, 11
16.20021,0,level1,892,Offset HP Bar,0,922,5, 13
17.20813,0,level1,883,Offset HP Bar,9,4782.5,3, 11
18.22415,0,level1,881,Offset HP Bar,2,5068,4, 9
19.23137,0,level1,881,Offset HP Bar,0,5332,2, 7
20.23804,0,level1,881,Offset HP Bar,0,4715,0, 5
21.23915,0,level1,881,Offset HP Bar,0,1302.5,2, 3
22.24916,0,level1,881,Offset HP Bar,0,3077.5,0, 2
23.126,0,level1,881,Offset HP Bar,0,625,0, 0
